test push
//========================================
Theta Lambda Entropy UtilMaxVariance UtilTimeAvgVariance
0.450000 7 3.799431 0.003858 0.000002
0.500000 7 3.813157 0.004095 0.000002
0.550000 7 3.796141 0.004116 0.000002
0.600000 7 3.647709 0.004265 0.000003
0.650000 7 3.616446 0.004102 0.000003
0.700000 7 3.404860 0.004140 0.000003
0.750000 7 3.310369 0.004145 0.000003
0.800000 7 3.177142 0.004314 0.000003
0.850000 7 2.972647 0.004461 0.000003
0.900000 7 2.675474 0.004519 0.000003
0.950000 7 2.348994 0.004738 0.000003
0.000000 8 -2.000000 0.000071 0.000000
0.050000 8 4.402537 0.000690 0.000000
0.100000 8 4.324169 0.001035 0.000001
0.150000 8 4.101001 0.001469 0.000001
0.200000 8 3.876291 0.001976 0.000001
0.250000 8 3.730241 0.002464 0.000001
0.300000 8 3.652688 0.003013 0.000002
0.350000 8 3.749352 0.003428 0.000002
0.400000 8 3.709316 0.003578 0.000002
0.450000 8 3.703673 0.003874 0.000002
0.500000 8 3.705472 0.003994 0.000002
0.550000 8 3.537977 0.004180 0.000003
0.600000 8 3.606329 0.004195 0.000003
0.650000 8 3.616255 0.004433 0.000003
0.700000 8 3.492038 0.004316 0.000003
0.750000 8 3.246668 0.004155 0.000003
0.800000 8 3.167212 0.004318 0.000003
0.850000 8 2.993526 0.004593 0.000003
0.900000 8 2.783416 0.004718 0.000003
0.950000 8 2.308820 0.004787 0.000003
0.000000 9 -2.000000 0.000046 0.000000
0.050000 9 -2.000000 0.000746 0.000000
0.100000 9 4.366706 0.000992 0.000001
0.150000 9 4.114572 0.001774 0.000001
0.200000 9 3.852598 0.001863 0.000001
0.250000 9 3.734785 0.002349 0.000001
0.300000 9 3.612299 0.002872 0.000002
0.350000 9 3.635163 0.003447 0.000002
0.400000 9 3.657435 0.003671 0.000002
0.450000 9 3.638568 0.003774 0.000002
0.500000 9 3.593754 0.004004 0.000002
0.550000 9 3.512600 0.004127 0.000003
0.600000 9 3.501542 0.004124 0.000003
0.650000 9 3.487541 0.004337 0.000003
0.700000 9 3.394859 0.004252 0.000003
0.750000 9 3.259977 0.004187 0.000003
0.800000 9 3.138992 0.004279 0.000003
0.850000 9 2.912410 0.004271 0.000003
0.900000 9 2.779672 0.004464 0.000003
0.950000 9 2.295544 0.004738 0.000003
0.000000 10 -2.000000 0.000029 0.000000
0.050000 10 -2.000000 0.000545 0.000000
0.100000 10 4.350704 0.000880 0.000001
0.150000 10 4.112832 0.001389 0.000001
0.200000 10 3.860748 0.001691 0.000001
0.250000 10 3.699526 0.002437 0.000001
0.300000 10 3.616036 0.002920 0.000001
0.350000 10 3.550289 0.003273 0.000002
0.400000 10 3.526965 0.003596 0.000002
0.450000 10 3.521858 0.003698 0.000002
0.500000 10 3.594417 0.003892 0.000002
0.550000 10 3.510014 0.003982 0.000003
0.600000 10 3.487611 0.004225 0.000003
0.650000 10 3.451711 0.004347 0.000003
0.700000 10 3.487180 0.004234 0.000003
0.750000 10 3.313004 0.004223 0.000003
0.800000 10 3.216450 0.004241 0.000003
0.850000 10 2.886988 0.004548 0.000003
0.900000 10 2.825663 0.004685 0.000003
0.950000 10 2.359691 0.004487 0.000003
0.000000 11 -2.000000 0.000032 0.000000
0.050000 11 4.458700 0.000364 0.000000
0.100000 11 4.380781 0.001006 0.000001
0.150000 11 4.152914 0.001424 0.000001
0.200000 11 3.869055 0.001699 0.000001
0.250000 11 3.587017 0.002199 0.000001
0.300000 11 3.532845 0.002763 0.000002
0.350000 11 3.620129 0.003153 0.000002
0.400000 11 3.447192 0.003441 0.000002
0.450000 11 3.428860 0.003725 0.000002
0.500000 11 3.625739 0.003834 0.000002
0.550000 11 3.488164 0.004084 0.000002
0.600000 11 3.434660 0.004071 0.000003
0.650000 11 3.530002 0.004403 0.000003
0.700000 11 3.367561 0.004214 0.000003
0.750000 11 3.370243 0.004133 0.000003
0.800000 11 3.196062 0.004355 0.000003
0.850000 11 2.974930 0.004628 0.000003
0.900000 11 2.920467 0.004724 0.000003
0.950000 11 2.328960 0.004691 0.000003
0.000000 12 -2.000000 0.000028 0.000000
0.050000 12 4.457863 0.000340 0.000000
0.100000 12 4.373299 0.000814 0.000001
